"","Job_Title","Company","Location","Links"
"1",NA,NA,NA,NA
"2","Intern - Data Science, Marketing Analytics (10 weeks)","McKinsey & Company","Atlanta, GA","/rc/clk?jk=70a071b8ad29b8ca&fccid=6576e7250aa78c3c&vjs=3"
"3","Data Scientist, Customer Experience","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=f3c1307916749763&fccid=50208b5bf45ee3b8&vjs=3"
"4","Data Scientist, Customer Intelligence - Opportunity for Working Remotely Atlanta, GA","VMware","Atlanta, GA 30328","/rc/clk?jk=cf83222c94e87302&fccid=c762a27145bd166e&vjs=3"
"5","Data Scientist","Daimler","Atlanta, GA 30328","/rc/clk?jk=9533458eaaa62700&fccid=b25343f021fb51d7&vjs=3"
"6","Associate Data Scientist - Decision Analytics","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=dfa4f103ec6c56ed&fccid=82e58e9861d48566&vjs=3"
"7","Data Scientist, Machine Learning Engineer","Next Insurance","Atlanta, GA","/rc/clk?jk=1f02c421ab26df8f&fccid=332867063ca4196c&vjs=3"
"8","Senior Data Scientist","Splunk","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=85a6f6d2cc9d4bbe&fccid=aef928e89977f7f0&vjs=3"
"9","Data Scientist w/Python and/or Palantir REMOTE","Shine Systems","Atlanta, GA 30319","/rc/clk?jk=949f0cbff3bd1730&fccid=71a3b3db8c603fbd&vjs=3"
"10","Principal Data Scientist","Splunk","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=2ac6ae7d2831ea3d&fccid=aef928e89977f7f0&vjs=3"
"11","Advanced Data Scientist","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=f49221ac02d7ed3d&fccid=50208b5bf45ee3b8&vjs=3"
"12","Data Scientist","Contus","Atlanta, GA","/rc/clk?jk=fbea40452ef1a258&fccid=5fe41c4185708d63&vjs=3"
"13","Data Analyst/Data Scientist","Vanderlande Industries","Atlanta, GA","/rc/clk?jk=ece2f06740a3741b&fccid=9b9f0bf4b54e4b3d&vjs=3"
"14","Data Scientist","RELX Group","Alpharetta, GA","/rc/clk?jk=0eb46fa45aecb221&fccid=06206ab329e0eb22&vjs=3"
"15","Launch Data Specialist","Rubicon","Atlanta, GA 30326 (Lenox area)","/rc/clk?jk=c353ac8772a7a2b9&fccid=8d8bde4f3caaae53&vjs=3"
"16","Global Recruiting Data Scientist","The Boston Consulting Group","Atlanta, GA","/rc/clk?jk=7c725dc85f6a89f9&fccid=b95f9eb47968fa13&vjs=3"
"17","Data Scientist, Operations Decision Science","Delta","Atlanta, GA","/rc/clk?jk=1cb59dd5ec8baf28&fccid=3f721eb1d31080a6&vjs=3"
"18","Data scientist","Protos IT","Atlanta, GA 30333","/company/protosit/jobs/Data-Scientist-c6d95cd918ad1764?fccid=9b65332259744a0f&vjs=3"
