"","Company","Job_Title","Location","Links","Job_Description"
"1",NA,NA,NA,NA,NA
"2","Cloudflare","Data Scientist","Austin, TX","/rc/clk?jk=93bff818164fface&fccid=c57da989524f65e7&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"3","Babylon Health","Data Scientist","Austin, TX","/rc/clk?jk=11ed12816e57b9e1&fccid=c2ccde89741d2131&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"4","Resideo","Data Science Intern","Austin, TX","/rc/clk?jk=ec3a5a8554901689&fccid=14a428813ee7c1a1&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"5","SparkCognition","Sr. Data Scientist for Fin-Tech","Austin, TX 78759 (Arboretum area)","/rc/clk?jk=5a7486384db13fff&fccid=a51326a8129af4fe&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"6","SparkCognition","Senior Data Scientist - SparkPredict","Austin, TX 78759 (Arboretum area)","/rc/clk?jk=3f00c9b4b6c7bb9b&fccid=a51326a8129af4fe&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"7","Zynga","Data Scientist","Austin, TX 78717","/rc/clk?jk=f44cff65b21eede5&fccid=f379417fa48d0010&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"8","Applied Systems, Inc.","Data Scientist","Austin, TX 78701 (Downtown area)","/rc/clk?jk=4d8545d40cf66f8c&fccid=107cce579bbe72b8&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"9","Splunk","Principal Data Scientist","Austin, TX 73301 (St Edwards area)","/rc/clk?jk=bf359efb517d633c&fccid=aef928e89977f7f0&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
"10","Square","Data Scientist, Point of Sale & Customers","Austin, TX","/rc/clk?jk=5fddf7ca0dd6565c&fccid=09abad886b83c501&vjs=3","The Advanced Analytics and Data Science team at Catalina creates new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to Production and ensure that these initiatives are successful.
This position will report directly to the VP of Advanced Analytics and Data Science.
Responsibilities
The Incumbent
Manages and transforms very large data sets
Works on moderate to complex projects that require a singular area of expertise
Leads project planning sessions with users, business analysts, and team members to gather and analyze user requirements. Develops recommendations
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production
Manages and maintains non-trivial software artifacts which achieve the capabilities listed above
Strives to create clean, widely applicable / reusable artifacts
Participates in daily scrum team meetings and other agile ceremonies
Operates with minimal supervision required (supervision by manager and product owner a couple of times per week)
Qualifications
Ph.D. in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience
Excellent computing and software engineering skills: python, other programming (e.g., C++/Java), cloud distributed computing (e.g., Azure, Databricks), machine learning frameworks (e.g., spark MLLib, tensorflow), UNIX, bitbucket, Target Process/JIRA or other Agile development tool, concepts of data engineering
Good communications, verbally, and also the ability to construct cogent design documents, emails and PowerPoints
Atlanta-based preferable. Alternatives are St. Petersburg, Chicago, NYC.
Ability to travel up to 25%
Sunny disposition, team player
About Catalina
Catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading CPG retailers and brands. Powered by the most extensive shopper database in the world, Catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. Catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and Catalina. Based in St. Petersburg, FL, Catalina has operations in the United States, Europe and Japan. To learn more, please visit www.catalina.com or follow us on Twitter @Catalina.
Diversity, Inclusion + Belongingness
Catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. We are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and a voice to be heard. Our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel.
The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.
All duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities.
We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace."
